WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested,Lat,Long
Aaron,Douglas,zebra mussel,2020,-95.45,45.93
Adley,Otter Tail,zebra mussel,2016,-95.71,46.41
Agnes,Douglas,zebra mussel,2022,-95.45,45.93
Alexander,Morrison,Eurasian watermilfoil,2004,-94.21,46.07
Alexander,Morrison,zebra mussel,2019,-94.21,46.07
Alice,Washington,Eurasian watermilfoil,2013,-92.88,45.02
Alimagnet,Dakota,Eurasian watermilfoil,2014,-93.03,44.7
Alstead Mine,Crow Wing,zebra mussel,2017,-94.09,46.48
Alvin,Douglas,zebra mussel,2009,-95.45,45.93
Amelia,Anoka,flowering rush,2014,-93.27,45.23
Amelia,Pope,zebra mussel,2018,-95.44,45.6
Amor,Otter Tail,zebra mussel,2019,-95.71,46.41
Anderson's Marsh,Jackson,bighead carp,2012,-95.16,43.67
Anderson's Marsh,Jackson,silver carp,2012,-95.16,43.67
Andrew,Kandiyohi,Eurasian watermilfoil,2019,-95.01,45.15
Andrew,Douglas,zebra mussel,2016,-95.45,45.93
Andrew,Kandiyohi,zebra mussel,2018,-95.01,45.15
Andrusia,Beltrami,zebra mussel,2014,-95.01,47.98
Ann,Carver,brittleleaf naiad,2017,-93.77,44.81
Ann,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Annie Battle,Otter Tail,zebra mussel,2018,-95.71,46.41
Arbor North (NW 1/4 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Arbor South (S 1/2 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Arbor West,Hennepin,Eurasian watermilfoil,2006,-93.47,45.02
Arco Mine,Crow Wing,zebra mussel,2017,-94.09,46.48
Armour #2 Mine,Crow Wing,zebra mussel,2020,-94.09,46.48
Armstrong Slough,Murray,zebra mussel,2022,-95.77,44.02
Arrowhead,Hennepin,Eurasian watermilfoil,1996,-93.47,45.02
Arrowhead,Crow Wing,zebra mussel,2014,-94.09,46.48
Artlip,Lake,zebra mussel,2014,-91.41,47.57
Ash River downstream of the northern section line of S8 T68N R19W,St. Louis,spiny waterflea,2007,-92.38,47.5
Auburn,Carver,Eurasian watermilfoil,1995,-93.77,44.81
Augusta,Wright,Eurasian watermilfoil,1995,-93.89,45.2
