 W A T E R B O D Y N A M E, C O U N T Y O R C O U N T I E S, L I S T E D F O R A Q U A T I C I N V A S I V E S P E C I E S, Y E A R L I S T E D A S I N F E S T E D, Y E A R S P E C I E S W A S F I R S T C O N F I R M E D O R C O N N E C T E D, D O W N U M B E R
Aaron,Douglas,zebra mussel,2020,2020,21024200
Adley,Otter Tail,zebra mussel,2016,2016,56003100
Agnes,Douglas,zebra mussel,2022,connected to Henry (21-0051),21005300
Alexander,Morrison,Eurasian watermilfoil,2004,2003,49007900
Alexander,Morrison,zebra mussel,2019,2019,49007900
Alice,Washington,Eurasian watermilfoil,2013,2012,82028700
Alimagnet,Dakota,Eurasian watermilfoil,2014,2012,19002100
Alstead Mine,Crow Wing,zebra mussel,2017,connected to Mahnomen Mine Pit #1 and #2 (18-0440-01 and 18-0440-02),18044006
Alvin,Douglas,zebra mussel,2009,connected to Darling (21-0080),21009300
Amelia,Anoka,flowering rush,2014,1968,2001400
Amelia,Pope,zebra mussel,2018,2018,61006400
Amor,Otter Tail,zebra mussel,2019,connected to West McDonald (56-0386-02),56038101
Anderson?s Marsh,Jackson,bighead carp,2012,connected water,32003200
Anderson?s Marsh,Jackson,silver carp,2012,connected water,32003200
Andrew,Kandiyohi,Eurasian watermilfoil,2019,2019,34020600
Andrew,Douglas,zebra mussel,2016,2016,21008500
Andrew,Kandiyohi,zebra mussel,2018,2021,34020600
Andrusia,Beltrami,zebra mussel,2014,2016,4003800
Ann,Carver,brittleleaf naiad,2017,2017,10001200
Ann,Carver,Eurasian watermilfoil,1995,1995,10001200
Annie Battle,Otter Tail,zebra mussel,2018,2018,56024100
Arbor North (NW 1/4 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006,2004,27114000
Arbor South (S 1/2 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006,2004,
Arbor West,Hennepin,Eurasian watermilfoil,2006,2004,27113000
Arco Mine,Crow Wing,zebra mussel,2017,connected to Mahnomen Mine Pit #1 and #2 (18-0440-01 and 18-0440-02),18044007
Armour #2 Mine,Crow Wing,zebra mussel,2020,2020,18043800
Armstrong Slough,Murray,zebra mussel,2022,connected to Shetek (51-0046),51004500
Arrowhead,Hennepin,Eurasian watermilfoil,1996,1995,27004500
Arrowhead,Crow Wing,zebra mussel,2014,connected to Whitefish chain,18036600
Artlip,Lake,zebra mussel,2014,connected to Crooked (38-0024),38002100
Ash River downstream of the northern section line of S8 T68N R19W,St. Louis,spiny waterflea,2007,connected to Kabetogema (69-0845),
Auburn,Carver,Eurasian watermilfoil,1995,1989,10004400
Augusta,Wright,Eurasian watermilfoil,1995,1993,86028400
Augusta,Multiple (Stearns and Wright),zebra mussel,2015,2017,86028400
Bad Axe,Hubbard,Eurasian watermilfoil,2017,2017,29020800
Bald Eagle,Ramsey,Eurasian watermilfoil,1995,1989,62000200
Bald Eagle,Ramsey,flowering rush,2014,2013,62000200
Bald Eagle,Ramsey,zebra mussel,2018,2018,62000200
Ball Club,Itasca,zebra mussel,2020,2020,31081200
Ballantyne,Blue Earth,Eurasian watermilfoil,2013,2012,7005400
Barbour,Crow Wing,zebra mussel,2021,Connected to Smith (18002800),18003000
Barrett,Grant,zebra mussel,2018,2018,26009500
Bass,Faribault,Eurasian watermilfoil,2019,2019,22007400
Bass,Hennepin,Eurasian watermilfoil,1998,1998,27009800
Bass,Anoka,flowering rush,2014,1968,2013500
Bass,Crow Wing,zebra mussel,2022,2022,18035800
Bass,Otter Tail,zebra mussel,2009,2009,56077000
Bass (or Ray),Cass,zebra mussel,2010,connected to Gull (11-0305),11022000
Basswood,Lake,spiny waterflea,2014,2014,38064500
Basswood River between Basswood Lake and Crooked Lake,Lake,spiny waterflea,2014,connected to Basswood (38-0645),
Baudette River from 500 feet upstream of Highway 11 downstream to the Rainy River ,Lake of the Woods,spiny waterflea,2007,connected to Rainy River,
Bavaria,Carver,Eurasian watermilfoil,1995,1989,10001900
Baxter,Isanti,Eurasian watermilfoil,2018,2016,30011400
Bay,Crow Wing,Eurasian watermilfoil,1995,1992,18003400
Bay,Crow Wing,zebra mussel,2018,2017,18003400
Bear,Carlton,Eurasian watermilfoil,2015,2015,9003400
Beaudry,Sherburne,zebra mussel,2021,Connected to Big (71008200),71006200
Beaver,Ramsey,Eurasian watermilfoil,2005,2004,62001600
Becker,Stearns,zebra mussel,2018,connected by the Sauk River between Sauk (77-0150) and Becker (73-0156),73015600
Beebe,Wright,Eurasian watermilfoil,1995,1993,86002300
Belle,McLeod,Eurasian watermilfoil,2018,2018,47004900
Beltrami,Beltrami,starry stonewort,2019,2019,4013500
Bemidji (main lake),Beltrami,starry stonewort,2022,2022,4013000
Bemidji (main lake),Beltrami,zebra mussel,2018,2018,4013000
Benedict,Hubbard,zebra mussel,2017,2017,29004800
Bertha,Crow Wing,zebra mussel,2014,connected to Whitefish chain,18035500
