,WaterBody,Counties,List of Aquatic Invasive Species,Year Listed Infested
0,Aaron,Douglas,zebra mussel,2020
1,Adley,Otter Tail,zebra mussel,2016
2,Agnes,Douglas,zebra mussel,2022
3,Alexander,Morrison,Eurasian watermilfoil,2004
4,Alexander,Morrison,zebra mussel,2019
5,Alice,Washington,Eurasian watermilfoil,2013
6,Alimagnet,Dakota,Eurasian watermilfoil,2014
7,Alstead Mine,Crow Wing,zebra mussel,2017
8,Alvin,Douglas,zebra mussel,2009
9,Amelia,Anoka,flowering rush,2014
10,Amelia,Pope,zebra mussel,2018
11,Amor,Otter Tail,zebra mussel,2019
12,Anderson?s Marsh,Jackson,bighead carp,2012
13,Anderson?s Marsh,Jackson,silver carp,2012
14,Andrew,Kandiyohi,Eurasian watermilfoil,2019
15,Andrew,Douglas,zebra mussel,2016
16,Andrew,Kandiyohi,zebra mussel,2018
17,Andrusia,Beltrami,zebra mussel,2014
18,Ann,Carver,brittleleaf naiad,2017
19,Ann,Carver,Eurasian watermilfoil,1995
20,Annie Battle,Otter Tail,zebra mussel,2018
21,Arbor North (NW 1/4 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006
22,Arbor South (S 1/2 SW 1/4 S23 T119N R22W),Hennepin,Eurasian watermilfoil,2006
23,Arbor West,Hennepin,Eurasian watermilfoil,2006
24,Arco Mine,Crow Wing,zebra mussel,2017
25,Armour #2 Mine,Crow Wing,zebra mussel,2020
26,Armstrong Slough,Murray,zebra mussel,2022
27,Arrowhead,Hennepin,Eurasian watermilfoil,1996
28,Arrowhead,Crow Wing,zebra mussel,2014
29,Artlip,Lake,zebra mussel,2014
30,Ash River downstream of the northern section line of S8 T68N R19W,St. Louis,spiny waterflea,2007
31,Auburn,Carver,Eurasian watermilfoil,1995
32,Augusta,Wright,Eurasian watermilfoil,1995
33,Augusta,Multiple (Stearns and Wright),zebra mussel,2015
34,Bad Axe,Hubbard,Eurasian watermilfoil,2017
35,Bald Eagle,Ramsey,Eurasian watermilfoil,1995
36,Bald Eagle,Ramsey,flowering rush,2014
37,Bald Eagle,Ramsey,zebra mussel,2018
38,Ball Club,Itasca,zebra mussel,2020
39,Ballantyne,Blue Earth,Eurasian watermilfoil,2013
40,Barbour,Crow Wing,zebra mussel,2021
41,Barrett,Grant,zebra mussel,2018
42,Bass,Faribault,Eurasian watermilfoil,2019
43,Bass,Hennepin,Eurasian watermilfoil,1998
44,Bass,Anoka,flowering rush,2014
45,Bass,Crow Wing,zebra mussel,2022
46,Bass,Otter Tail,zebra mussel,2009
47,Bass (or Ray),Cass,zebra mussel,2010
48,Basswood,Lake,spiny waterflea,2014
49,Basswood River between Basswood Lake and Crooked Lake,Lake,spiny waterflea,2014
50,Baudette River from 500 feet upstream of Highway 11 downstream to the Rainy River ,Lake of the Woods,spiny waterflea,2007
51,Bavaria,Carver,Eurasian watermilfoil,1995
52,Baxter,Isanti,Eurasian watermilfoil,2018
53,Bay,Crow Wing,Eurasian watermilfoil,1995
54,Bay,Crow Wing,zebra mussel,2018
55,Bear,Carlton,Eurasian watermilfoil,2015
56,Beaudry,Sherburne,zebra mussel,2021
57,Beaver,Ramsey,Eurasian watermilfoil,2005
58,Becker,Stearns,zebra mussel,2018
59,Beebe,Wright,Eurasian watermilfoil,1995
60,Belle,McLeod,Eurasian watermilfoil,2018
61,Beltrami,Beltrami,starry stonewort,2019
62,Bemidji (main lake),Beltrami,starry stonewort,2022
63,Bemidji (main lake),Beltrami,zebra mussel,2018
64,Benedict,Hubbard,zebra mussel,2017
65,Bertha,Crow Wing,zebra mussel,2014
66,Big,Sherburne,Eurasian watermilfoil,2007
67,Big,Beltrami,zebra mussel,2021
68,Big,Sherburne,zebra mussel,2020
69,Big Birch,Todd and Stearns,zebra mussel,2016
70,Big Cormorant,Becker,zebra mussel,2015
71,Big Fish,Stearns,zebra mussel,2018
72,Big Fork River from 500 feet upstream of the public water access on Highway 11 downstream to the Rainy River,Koochiching,spiny waterflea,2007
